"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.72831874781429e-08,0.696626047191874,0.274,0.112,0.000237021633075251,"FCGR3A+ Mono","UBE2A"
1.75997785507958e-08,0.625683452625648,0.383,0.177,0.000241363363045614,"FCGR3A+ Mono","PPCS"
2.06885689209905e-08,0.511887790562455,0.366,0.163,0.000283723034182464,"FCGR3A+ Mono","POLR2F"
2.08231963180443e-08,0.407776967147785,0.943,0.739,0.000285569314305659,"FCGR3A+ Mono","ATP5E"
2.27319251586161e-08,0.527390574081819,0.56,0.293,0.000311745621625261,"FCGR3A+ Mono","ATP5C1"
2.72293985069254e-08,0.28998164669033,0.537,0.272,0.000373423971123976,"FCGR3A+ Mono","ARHGDIA"
2.7544416318457e-08,0.434643115278167,0.617,0.33,0.000377744125391319,"FCGR3A+ Mono","UQCR10"
2.79691337615902e-08,0.464257894252337,0.251,0.099,0.000383568700406448,"FCGR3A+ Mono","TMEM141"
2.81614929890652e-08,0.46661648760378,0.28,0.114,0.000386206714852041,"FCGR3A+ Mono","ARHGAP4"
3.16992076597718e-08,0.581641793550299,0.537,0.276,0.00043472293384611,"FCGR3A+ Mono","SELK"
3.32410846545848e-08,0.511511590198419,0.971,0.906,0.000455868234952975,"FCGR3A+ Mono","MT-CO2"
3.65159118070853e-08,0.734282938619008,0.309,0.136,0.000500779214522368,"FCGR3A+ Mono","SFT2D1"
3.71462966592596e-08,1.31927366903595,0.28,0.121,0.000509424312385087,"FCGR3A+ Mono","CYTH4"
3.98595957371841e-08,0.998169374474787,0.274,0.114,0.000546634495939743,"FCGR3A+ Mono","STX7"
4.18977396313311e-08,0.56312115993063,0.337,0.152,0.000574585601304074,"FCGR3A+ Mono","ZFAND6"
4.44745182354853e-08,0.484890085284807,0.531,0.271,0.000609923543081445,"FCGR3A+ Mono","UQCRFS1"
4.47581652018484e-08,0.361962228187646,0.48,0.231,0.00061381347757815,"FCGR3A+ Mono","ANAPC11"
4.5947134688594e-08,0.636486953869422,0.303,0.131,0.000630119005119378,"FCGR3A+ Mono","PSMC2"
4.83043601141199e-08,0.526655477300598,0.531,0.266,0.000662445994605041,"FCGR3A+ Mono","SP110"
5.02852993361866e-08,0.384558329003778,0.737,0.426,0.000689612595096463,"FCGR3A+ Mono","C11orf31"
5.07451799158972e-08,0.536670108292502,0.526,0.275,0.000695919397366614,"FCGR3A+ Mono","PPP4C"
5.34243675682802e-08,0.512501462603795,0.377,0.178,0.000732661776831395,"FCGR3A+ Mono","CLTB"
5.79954020490567e-08,0.935909251926888,0.389,0.181,0.000795348943700764,"FCGR3A+ Mono","MRPL18"
5.92008092857609e-08,0.667753409577577,0.543,0.29,0.000811879898544924,"FCGR3A+ Mono","TBCB"
5.92772050065988e-08,0.364228092478031,0.543,0.286,0.000812927589460496,"FCGR3A+ Mono","FAM49B"
5.99592552187386e-08,0.806022152799654,0.269,0.115,0.000822281226069781,"FCGR3A+ Mono","RAB18"
6.738363344678e-08,0.449393407330377,0.343,0.155,0.00092409914908914,"FCGR3A+ Mono","MIR142"
7.49093428070472e-08,0.376756034337344,0.286,0.124,0.00102730672725584,"FCGR3A+ Mono","PRDX3"
7.50833292269551e-08,0.657790076739037,0.269,0.112,0.00102969277701846,"FCGR3A+ Mono","TADA3"
7.99965803302113e-08,0.260536477770452,0.629,0.347,0.00109707310264852,"FCGR3A+ Mono","SERPINB1"
8.42622342002251e-08,0.316826760062107,0.377,0.177,0.00115557227982189,"FCGR3A+ Mono","MYADM"
9.09383764409799e-08,0.622179121341496,0.514,0.277,0.0012471288945116,"FCGR3A+ Mono","NDUFS7"
9.16012930214465e-08,0.435017884962929,0.314,0.14,0.00125622013249612,"FCGR3A+ Mono","CTSA"
1.00197660239047e-07,0.386933641890334,0.914,0.7,0.00137411071251829,"FCGR3A+ Mono","CHCHD2"
1.05752809976715e-07,0.487503637844433,0.354,0.166,0.00145029403602067,"FCGR3A+ Mono","EMC7"
1.23547840780353e-07,0.305838838452015,0.4,0.188,0.00169433508846177,"FCGR3A+ Mono","CMTM7"
1.23927260840398e-07,0.314442487350962,0.72,0.441,0.00169953845516521,"FCGR3A+ Mono","GSTP1"
1.25861737544965e-07,0.550493625630404,0.646,0.383,0.00172606786869165,"FCGR3A+ Mono","COX7A2"
1.26500027474414e-07,0.627373185418976,0.629,0.37,0.00173482137678411,"FCGR3A+ Mono","LCP1"
1.30362415556191e-07,0.425870422379747,0.366,0.168,0.0017877901669376,"FCGR3A+ Mono","TXNL1"
1.35429252586425e-07,0.546530201482526,0.257,0.108,0.00185727676997023,"FCGR3A+ Mono","ADK"
1.41792063671983e-07,0.286558162979853,0.977,0.889,0.00194453636119758,"FCGR3A+ Mono","CD52"
1.51531793803606e-07,0.398443644030159,0.737,0.462,0.00207810702022266,"FCGR3A+ Mono","COX6A1"
1.53717382483787e-07,0.397065911211358,0.874,0.694,0.00210808018338266,"FCGR3A+ Mono","ZFP36"
1.53779186087026e-07,0.652088401547845,0.269,0.117,0.00210892775799748,"FCGR3A+ Mono","TLN1"
1.5387141078252e-07,0.466336529635337,0.4,0.199,0.00211019252747148,"FCGR3A+ Mono","HERPUD1"
1.56732413405762e-07,0.309857408302501,0.297,0.133,0.00214942831744662,"FCGR3A+ Mono","NCOA4"
1.58251738907276e-07,0.490811658739092,0.526,0.284,0.00217026434737439,"FCGR3A+ Mono","GNAS"
2.04155180462962e-07,0.669553971189378,0.417,0.214,0.00279978414486907,"FCGR3A+ Mono","C1orf43"
2.07951258508428e-07,0.474836052247203,0.309,0.137,0.00285184355918459,"FCGR3A+ Mono","AKR1A1"
2.2068768625934e-07,0.341080968178639,0.429,0.213,0.00302651092936058,"FCGR3A+ Mono","PCMT1"
2.28891862049717e-07,0.453940132454912,0.326,0.15,0.00313902299614981,"FCGR3A+ Mono","NDUFA7.1"
