"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002699","positive regulation of immune effector process","9/61","276/18860",0.0326086956521739,10.0819672131148,8.65808302692541,2.4094111851175e-07,9.76977374094418e-06,7.66593643618029e-06,"3122/972/3123/951/3109/2208/958/7805/8417",9
"GO:0070663","regulation of leukocyte proliferation","9/61","284/18860",0.0316901408450704,9.79796813668899,8.50985827715839,3.06574899258532e-07,1.20426452614992e-05,9.44936449359357e-06,"972/3115/3123/3113/951/3109/958/7805/4208",9
"GO:0002697","regulation of immune effector process","10/61","421/18860",0.0237529691211401,7.34395078073284,7.49875292672736,9.01086846337547e-07,3.43232171468575e-05,2.69320055827203e-05,"3122/972/3123/951/3109/2208/653361/958/7805/8417",10
"GO:0050671","positive regulation of lymphocyte proliferation","6/61","153/18860",0.0392156862745098,12.124718739955,7.87026862664503,9.92876883283538e-06,0.000367072424202179,0.000288026513819404,"972/3115/3113/3109/958/4208",6
"GO:0032946","positive regulation of mononuclear cell proliferation","6/61","155/18860",0.0387096774193548,11.9682707562136,7.81055741625761,1.06936989241534e-05,0.000384056558504595,0.000301353259907722,"972/3115/3113/3109/958/4208",6
"GO:0032735","positive regulation of interleukin-12 production","4/61","43/18860",0.0930232558139535,28.7609607319863,10.3812679556491,1.11203353714386e-05,0.000388285043386065,0.000304671176697017,"4050/3394/958/7805",4
"GO:0042100","B cell proliferation","5/61","94/18860",0.0531914893617021,16.4457621206836,8.55153911687376,1.31822187018683e-05,0.00044783915968239,0.000351400822863459,"972/973/931/958/4208",5
"GO:0002468","dendritic cell antigen processing and presentation","3/61","16/18860",0.1875,57.9713114754098,12.9863329808062,1.74958434639599e-05,0.000578744085110463,0.000454116491017463,"3122/972/3123",3
"GO:0070665","positive regulation of leukocyte proliferation","6/61","173/18860",0.0346820809248555,10.7230171515209,7.31831644387867,1.99683934024545e-05,0.000643596679663727,0.000505003633417001,"972/3115/3113/3109/958/4208",6
"GO:0042129","regulation of T cell proliferation","6/61","192/18860",0.03125,9.66188524590164,6.87180801890703,3.58963996115079e-05,0.00112804435779164,0.000885129643052182,"3115/3123/3113/951/3109/7805",6
"GO:0032609","type II interferon production","5/61","122/18860",0.040983606557377,12.6713249126579,7.36707907157742,4.64529802838856e-05,0.00139027133849629,0.00109088828385967,"3115/3123/3113/3394/7805",5
"GO:0032649","regulation of type II interferon production","5/61","122/18860",0.040983606557377,12.6713249126579,7.36707907157742,4.64529802838856e-05,0.00139027133849629,0.00109088828385967,"3115/3123/3113/3394/7805",5
"GO:0032615","interleukin-12 production","4/61","64/18860",0.0625,19.3237704918033,8.36428815587716,5.44226274001133e-05,0.00152082702108866,0.0011933299156388,"4050/3394/958/7805",4
"GO:0032655","regulation of interleukin-12 production","4/61","64/18860",0.0625,19.3237704918033,8.36428815587716,5.44226274001133e-05,0.00152082702108866,0.0011933299156388,"4050/3394/958/7805",4
"GO:0002577","regulation of antigen processing and presentation","3/61","23/18860",0.130434782608696,40.327868852459,10.75017009378,5.44448814232216e-05,0.00152082702108866,0.0011933299156388,"972/3112/1520",3
